# field	rate	distinct_non_zero	resolved_hashQuick	resolved_hashQuickLowerCase	occurrences	verdict
# verdict: hash >= 0.90, partial 0.10-0.90, not-a-hash < 0.10
EnlightenDataAsset.MaxResolutionX	0.0000	1	0	0	21	not-a-hash
EnlightenDataAsset.MaxResolutionY	0.0000	1	0	0	21	not-a-hash
EnlightenRuntimeSettings.DrawDebugSystemBoundingBoxEnable	0.0000	1	0	0	50	not-a-hash
EnlightenRuntimeSettings.DrawDebugSystemDependenciesEnable	0.0000	1	0	0	50	not-a-hash
EnlightenRuntimeSettings.JobCount	0.0000	1	0	0	50	not-a-hash
EnlightenRuntimeSettings.LightProbeMaxUpdateSolveCount	0.0000	1	0	0	50	not-a-hash
EnlightenRuntimeSettings.MinSystemUpdateCount	0.0000	1	0	0	50	not-a-hash
FlagCounterEntityData.ObjectiveFlagCount	0.0000	1	0	0	2	not-a-hash
FriendZoneEntityData.CorpsTimeout	0.0000	1	0	0	2	not-a-hash
FriendZoneEntityData.CorpsWeight	0.0000	1	0	0	2	not-a-hash
FriendZoneEntityData.EnemyWeight	0.0000	1	0	0	2	not-a-hash
FriendZoneEntityData.FriendlyWeight	0.0000	1	0	0	2	not-a-hash
GameModeTeamSize.SquadSize	0.0000	1	0	0	6900	not-a-hash
GameSettings.DifficultyIndex	0.0000	1	0	0	50	not-a-hash
GameSettings.LogFileRotationHistoryLength	0.0000	1	0	0	50	not-a-hash
GameSettings.LogHistory	0.0000	1	0	0	50	not-a-hash
GameSettings.MaxPlayerCount	0.0000	1	0	0	50	not-a-hash
GameTimeSettings.ClampTicks	0.0000	1	0	0	50	not-a-hash
GameTimeSettings.ForceDeltaTickCount	0.0000	1	0	0	50	not-a-hash
GameTimeSettings.YieldTime	0.0000	1	0	0	50	not-a-hash
GearboxConfigData.GearboxType	0.0000	1	0	0	105	not-a-hash
HeightfieldTreeAsset.MinHeightSamplesPerSide	0.0000	1	0	0	33	not-a-hash
HudCameraShakeData.FilterSize	0.0000	1	0	0	1	not-a-hash
InteractionEntityData.MaxUses	0.0000	1	0	0	120	not-a-hash
JetEngineConfigData.DirectionVectorIndex	0.0000	1	0	0	28	not-a-hash
LifeCounterEntityData.BaseCount	0.0000	1	0	0	2	not-a-hash
LifeCounterEntityData.UiShowCountLowerThreshold	0.0000	1	0	0	2	not-a-hash
LifeCounterEntityData.UiShowCountUpperThreshold	0.0000	1	0	0	2	not-a-hash
LookAtTriggerEntityData.ZoomLevel	0.0000	1	0	0	154	not-a-hash
MixGroupPropertyValue.Property	0.0000	1	0	0	368	not-a-hash
MixerSetPropertyEntry.Target	0.0000	1	0	0	28	not-a-hash
MultipleActorScenarioEntityData.Actor6SecondPart	0.0000	1	0	0	639	not-a-hash
OnlineProviderConfiguration.ServerSocketPacketSize	0.0000	1	0	0	6	not-a-hash
OnlineSettings.NegativeUserCacheRefreshPeriod	0.0000	1	0	0	50	not-a-hash
PathFollowingComponentData.PreferredPathfindingIndex	0.0000	1	0	0	56	not-a-hash
PathfindingSystemEntityData.PathfindingTypesOnLevel[]	0.0000	1	0	0	22	not-a-hash
PeerCreateGameParameters.PlayerCapacity	0.0000	1	0	0	1	not-a-hash
PersistenceRetentionPolicy.DailyHistoryCount	0.0000	1	0	0	1	not-a-hash
PersistenceRetentionPolicy.MonthlyHistoryCount	0.0000	1	0	0	1	not-a-hash
PersistenceRetentionPolicy.WeeklyHistoryCount	0.0000	1	0	0	1	not-a-hash
PickupEntityData.PreferredWeaponSlot	0.0000	1	0	0	58	not-a-hash
PlayerCameraEntityData.VehicleCameraIndex	0.0000	1	0	0	6	not-a-hash
PointSystemParamsAsset.KillStreakX	0.0000	1	0	0	1	not-a-hash
PointSystemParamsAsset.NemesisKillX	0.0000	1	0	0	1	not-a-hash
PreRoundEntityData.RoundMaxPlayerCount	0.0000	1	0	0	5	not-a-hash
PreRoundEntityData.RoundMinPlayerCount	0.0000	1	0	0	5	not-a-hash
PresenceServerBrowserServiceData.ListCapacity	0.0000	1	0	0	1	not-a-hash
ProfileOptionDataString.MaxLength	0.0000	1	0	0	5	not-a-hash
ProfileOptionsAsset.FileSize	0.0000	1	0	0	1	not-a-hash
Ps3AgeLevels.AgeLevel10	0.0000	1	0	0	10	not-a-hash
SensingSettings.MaxRays	0.0000	1	0	0	1	not-a-hash
ServerSettings.DedicatedServerCpu	0.0000	1	0	0	50	not-a-hash
ServerSettings.IncomingRate	0.0000	1	0	0	50	not-a-hash
ServerSettings.MaxQueriesPerSecond	0.0000	1	0	0	50	not-a-hash
ServerSettings.OutgoingRate	0.0000	1	0	0	50	not-a-hash
ServerSettings.PlayerCountNeededForMultiplayer	0.0000	1	0	0	50	not-a-hash
ServerSettings.SaveGameVersion	0.0000	1	0	0	50	not-a-hash
ShotConfigData.NumberOfBulletsPerShot	0.0000	1	0	0	281	not-a-hash
SimpleMovementActionData.SpecialAnimationIndex	0.0000	1	0	0	18	not-a-hash
SoldierMovementSequenceData.InputRecordingIndex	0.0000	1	0	0	23	not-a-hash
SoldierWeaponsComponentData.GrenadeIncrease	0.0000	1	0	0	6	not-a-hash
SoundEntityData.ObstructionHandle	0.0000	1	0	0	1974	not-a-hash
SpawnReferenceObjectData.SpawnProtectionFriendlyKilledCount	0.0000	1	0	0	3415	not-a-hash
SpawnReferenceObjectData.TakeControlEntryIndex	0.0000	1	0	0	3415	not-a-hash
SpottingComponentData.CoolDownAllowedSpotsWithinHistory	0.0000	1	0	0	167	not-a-hash
StaticModelNetworkInfo.ChildNetworkIdCount	0.0000	1	0	0	6570	not-a-hash
TerrainQuadDecalAtlasTile.TileIndexX	0.0000	1	0	0	1168	not-a-hash
TicketCounterEntityData.InitialTicketCount	0.0000	1	0	0	4	not-a-hash
TicketCounterEntityData.TicketLossPerMin	0.0000	1	0	0	4	not-a-hash
TicketCounterEntityData.TicketLossStart	0.0000	1	0	0	4	not-a-hash
TicketCounterEntityData.TicketLossWhenLostAll	0.0000	1	0	0	4	not-a-hash
UIGeoLatitude.Degrees	0.0000	1	0	0	2	not-a-hash
UIGeoLatitude.Minuites	0.0000	1	0	0	2	not-a-hash
UIGeoLatitude.Seconds	0.0000	1	0	0	2	not-a-hash
UIGeoLongitude.Degrees	0.0000	1	0	0	2	not-a-hash
UIGeoLongitude.Minuites	0.0000	1	0	0	2	not-a-hash
UIGeoLongitude.Seconds	0.0000	1	0	0	2	not-a-hash
UINametagCompData.OrderCooldown	0.0000	1	0	0	2	not-a-hash
UINametagCompData.TooltipCooldown	0.0000	1	0	0	2	not-a-hash
UINestedListDataBinding.RowSpacing	0.0000	1	0	0	24	not-a-hash
UISetValueData.IntValue	0.0000	1	0	0	4	not-a-hash
UISetupServerWizardCompData.PasswdMinLen	0.0000	1	0	0	1	not-a-hash
UISoldierCompData.FocusAbilityIndex	0.0000	1	0	0	1	not-a-hash
UISoldierCompData.RangerPTProgramAbilityIndex	0.0000	1	0	0	1	not-a-hash
UISoldierCompData.ShockTraumaAbilityIndex	0.0000	1	0	0	1	not-a-hash
UITextDatabase.HistogramChunkSize	0.0000	1	0	0	11	not-a-hash
UIVehicleCompData.RangeMeterUpdatesPerSecond	0.0000	1	0	0	1	not-a-hash
UIVoiceCompData.HudMaxSpeakers	0.0000	1	0	0	1	not-a-hash
VegetationTreeEntityData.ShadowLODOffset	0.0000	1	0	0	31	not-a-hash
VehicleSpawnReferenceObjectData.ActiveStanceEntryIndex	0.0000	1	0	0	1109	not-a-hash
VehicleStateTriggerEntityData.BulletCount	0.0000	1	0	0	72	not-a-hash
VeniceOnlineSettings.MatchFeedMaxFetchAttempts	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.MatchFeedMinimumMillisecondsBetweenMatchReloads	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.MatchFeedMinimumMillisecondsBetweenMatchRequests	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.MatchFeedMinimumMillisecondsBetweenNewRequestAttempt	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.MatchFeedMinimumMillisecondsBetweenRequests	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.PingPeriod	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.QueueCapacityOverride	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.WebFeedMaxFetchAttempts	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.WebFeedMaxItems	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.WebFeedMillisecondsBetweenNewRequestAttempt	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.WebFeedMinimumMillisecondsBetweenRequests	0.0000	1	0	0	50	not-a-hash
VeniceOnlineSettings.WebFeedUnreadCountFetchPeriod	0.0000	1	0	0	50	not-a-hash
VersionData.Version	0.0000	1	0	0	1	not-a-hash
VoiceOverConversationQueueGroup.Polyphony	0.0000	1	0	0	15	not-a-hash
VoiceOverGroup.Priority	0.0000	1	0	0	252	not-a-hash
WeaponDeployTimeModifier.AltDeployId	0.0000	1	0	0	60	not-a-hash
WeaponInputRouterComponentData.RotationCount	0.0000	1	0	0	25	not-a-hash
WeaponUnlockPickupData.LinkedToWeaponSlot	0.0000	1	0	0	122	not-a-hash
WheelConfigData.DrivingType	0.0000	1	0	0	180	not-a-hash
WheelConfigData.SteeringAngleIndex	0.0000	1	0	0	180	not-a-hash
XenonPresenceBackendData.TitleId	0.0000	1	0	0	1	not-a-hash
ZoomLevelSpecificTransitionTime.FromZoomLevel	0.0000	1	0	0	50	not-a-hash
ZoomLevelSpecificTransitionTime.ToZoomLevel	0.0000	1	0	0	50	not-a-hash
